65
66
68
69
70
71
71
71
70
69
68
67
68
68
67
67
66
66
67
67
66
65
66
66
66
67
67
66
65
65
64
63
63
64
64
64
63
63
62
62
63
64
63
63
62
61
61
60
60
60
61
60
60
60
60
60
60
60
60
60
59
59
60
60
62
63
63
63
64
63
63
63
63
62
62
62
61
60
59
59
59
60
61
61
61
61
61
60
60
61
60
60
60
59
59
60
60
59
59
59
60
60
60
60
61
62
63
63
63
63
63
63
